"","Estacoes","R2_Chuva","R2_Diario","R2_Decendial","R2_Mensal"
"355","A362_SAO_PEDRO_DO_PIAUI_(Automatica)",0.372,0.425,0.67,0.776
"356","A363_VALENCA_DO_PIAUI_(Automatica)",0.026,0.083,0.312,0.317
"357","A364_GILBUES_(Automatica)",0.083,0.189,0.502,0.746
"358","A365_CANTO_DO_BURITI_(Automatica)",0.047,0.15,0.708,0.806
"359","A366_OURICURI_(Automatica)",0.59,0.378,0.238,0.181
"360","A367_SANTA_CRUZ_(Automatica)",0.164,0.17,0.579,0.795
"361","A401_Salvador_(automatica)",0.098,0.13,0.311,0.129
"362","A402_Barreiras_(automatica)",0.209,0.349,0.78,0.85
"363","A404_Luis_Eduardo_Magalhaes_(automatica)",0.196,0.244,0.543,0.672
"364","A405_Caravelas_(automatica)",0.097,0.087,0.091,0.024
"365","A406_Cruz_das_Almas_(automatica)",0.129,0.121,0.089,0.059
"366","A407_Itirucu_(automatica)",0.13,0.153,0.243,0.199
"367","A408_Itaberaba_(automatica)",0.346,0.39,0.53,0.869
"368","A409_Aracaju_(automatica)",0.11,0.132,0.13,0.059
"369","A410_Ilheus_(automatica)",0.188,0.182,0.362,0.292
"370","A411_Paulo_Afonso_(automatica)",0.127,0.151,0.412,0.784
"371","A412_Macajuba_(inmet)",0.459,0.483,0.725,0.842
"372","A413_FEIRA_DE_SANTANA",0.036,0.066,0.219,0.244
"373","A414_VITORIA_DA_CONQUISTA",0.539,0.554,0.755,0.818
"374","A415_SANTA_RITA_DE_CASSIA",0.36,0.469,0.864,0.968
"375","A416_CORRENTINA",0.257,0.35,0.8,0.851
"376","A417_ITABAIANINHA",0.138,0.144,0.156,0.056
"377","A418_BOM_JESUS_DA_LAPA_(Automatica)",0.327,0.431,0.787,0.906
"378","A419_POCO_VERDE_(Automatica)",0.044,0.06,0.245,0.232
"379","A420_CARIRA_(Automatica)",0.296,0.27,0.253,0.367
"380","A423_REMANSO_(Automatica)",0.256,0.295,0.344,0.678
"381","A424_IRECE_(Automatica)",0.196,0.347,0.78,0.933
"382","A425_LENCOIS_(Automatica)",0.393,0.421,0.714,0.825
"383","A426_GUANAMBI_(Automatica)",0.332,0.463,0.758,0.928
